epoca,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
0,0.2597847878932953,0.2735147476196289,0.884375,0.8875,0.5173913043478261,0.5263157894736842
1,0.20995274186134338,0.23341841995716095,0.9151041666666667,0.90625,0.7104795737122558,0.6715328467153284
2,0.19492965936660767,0.21663278341293335,0.9197916666666667,0.9208333333333333,0.7116104868913857,0.703125
3,0.18476244807243347,0.19163325428962708,0.9270833333333334,0.91875,0.7508896797153025,0.7153284671532847
4,0.176339790225029,0.18378260731697083,0.9333333333333333,0.9333333333333333,0.7770034843205574,0.7777777777777778
5,0.17231546342372894,0.18797315657138824,0.9317708333333333,0.9354166666666667,0.7596330275229358,0.7703703703703704
6,0.1653813272714615,0.17528985440731049,0.9359375,0.9333333333333333,0.8050713153724247,0.7948717948717948
7,0.16262935101985931,0.1668076068162918,0.9411458333333333,0.9479166666666666,0.7971274685816876,0.8226950354609929
8,0.1502852439880371,0.15163590013980865,0.946875,0.9458333333333333,0.8333333333333334,0.8311688311688312
9,0.14777608215808868,0.1535595953464508,0.9479166666666666,0.95,0.8220640569395018,0.8309859154929577
10,0.16930846869945526,0.16492685675621033,0.9338541666666667,0.9458333333333333,0.7543520309477756,0.8059701492537313
11,0.15232442319393158,0.16260705888271332,0.9453125,0.9416666666666667,0.8114901256732495,0.7971014492753623
12,0.143438920378685,0.15184831619262695,0.9557291666666666,0.9541666666666667,0.8551959114139693,0.8513513513513513
13,0.14299455285072327,0.15829142928123474,0.9479166666666666,0.9458333333333333,0.8381877022653722,0.8311688311688312
14,0.1403953582048416,0.14875510334968567,0.9536458333333333,0.9520833333333333,0.8457538994800693,0.8413793103448276
15,0.13663625717163086,0.147687628865242,0.9510416666666667,0.95,0.839041095890411,0.8356164383561644
16,0.13149748742580414,0.13592460751533508,0.9609375,0.9541666666666667,0.8709122203098106,0.8493150684931506
17,0.13589665293693542,0.14825521409511566,0.9510416666666667,0.9416666666666667,0.8469055374592834,0.8133333333333334
18,0.12460760772228241,0.12502676248550415,0.9588541666666667,0.95625,0.866779089376054,0.8571428571428571
19,0.14000673592090607,0.14328917860984802,0.9630208333333333,0.9541666666666667,0.8849270664505673,0.8589743589743589
20,0.1256754994392395,0.12875686585903168,0.9546875,0.9541666666666667,0.8522920203735145,0.8513513513513513
21,0.13431383669376373,0.1674034297466278,0.9588541666666667,0.9541666666666667,0.8626086956521739,0.8472222222222222
22,0.12296935170888901,0.13571566343307495,0.9588541666666667,0.95,0.8672268907563025,0.8378378378378378
23,0.13674654066562653,0.19324220716953278,0.9598958333333333,0.9541666666666667,0.8679245283018868,0.8472222222222222
24,0.1263810247182846,0.14803816378116608,0.9572916666666667,0.95625,0.8571428571428571,0.8531468531468531
25,0.12293492257595062,0.12834511697292328,0.95625,0.9541666666666667,0.8556701030927835,0.8472222222222222
26,0.11925575137138367,0.12716147303581238,0.9578125,0.9541666666666667,0.8629441624365483,0.8493150684931506
27,0.11682069301605225,0.12947647273540497,0.9598958333333333,0.9520833333333333,0.8701517706576728,0.8435374149659864
28,0.11488720029592514,0.12387873977422714,0.9625,0.9541666666666667,0.88,0.8552631578947368
29,0.11473742872476578,0.1307576447725296,0.9578125,0.95,0.8661157024793389,0.8461538461538461
30,0.1260489523410797,0.13597068190574646,0.959375,0.95625,0.8626760563380281,0.8531468531468531
31,0.1093447357416153,0.12102968990802765,0.9625,0.9541666666666667,0.8783783783783784,0.8493150684931506
32,0.11724419891834259,0.1273937076330185,0.9609375,0.95,0.8784440842787682,0.8481012658227848
33,0.12415783852338791,0.1322145313024521,0.9546875,0.9479166666666666,0.8432432432432433,0.8175182481751825
34,0.11532602459192276,0.13075163960456848,0.959375,0.9458333333333333,0.8729641693811075,0.8354430379746836
35,0.11017847061157227,0.12372057139873505,0.9588541666666667,0.95,0.8676716917922948,0.8378378378378378
36,0.10761311650276184,0.12050158530473709,0.9640625,0.9541666666666667,0.8848080133555927,0.8552631578947368
37,0.10341139882802963,0.11377706378698349,0.9625,0.9541666666666667,0.88,0.8533333333333334
38,0.10369251668453217,0.11833765357732773,0.9645833333333333,0.95,0.8855218855218855,0.8356164383561644
39,0.10086391866207123,0.10868633538484573,0.9640625,0.9583333333333334,0.886326194398682,0.8648648648648649
40,0.10643848031759262,0.11915405094623566,0.9635416666666666,0.9520833333333333,0.8825503355704698,0.847682119205298
41,0.10388181358575821,0.11864388734102249,0.965625,0.9541666666666667,0.8885135135135135,0.8493150684931506
42,0.10370242595672607,0.1115960106253624,0.9604166666666667,0.95625,0.8716216216216216,0.8571428571428571
43,0.11217284947633743,0.1328606754541397,0.9619791666666667,0.9458333333333333,0.8824476650563607,0.8354430379746836
44,0.11242621392011642,0.1291353553533554,0.9588541666666667,0.95625,0.8635578583765112,0.8571428571428571
45,0.10368769615888596,0.11807558685541153,0.9651041666666667,0.9520833333333333,0.8892561983471075,0.8456375838926175
46,0.10149534791707993,0.11010032147169113,0.9630208333333333,0.9583333333333334,0.8802698145025295,0.8648648648648649
47,0.10324691981077194,0.11598745733499527,0.965625,0.9541666666666667,0.8928571428571429,0.8589743589743589
48,0.10260196030139923,0.11625108867883682,0.9609375,0.9583333333333334,0.8747913188647746,0.8666666666666667
49,0.11563286185264587,0.1278407871723175,0.9630208333333333,0.9458333333333333,0.8871224165341812,0.8375
