neuronios,lr,accuracy,precision,recall,f1,tempo
20,0.5,0.9644999999999999,0.9532809524051038,0.82875,0.8856915365404981,0.8066000133200031
20,0.2,0.9640416666666667,0.9499915121677688,0.82925,0.884284164427046,1.239989733360004
10,0.5,0.9641249999999999,0.9559304495662693,0.8237500000000001,0.883845825545359,0.7420848766200027
10,0.2,0.9625,0.9506940376148834,0.8182500000000001,0.8786108317325743,1.1413506208800004
20,0.1,0.9621666666666666,0.9500359884150458,0.817,0.87730099873746,1.863077215840003
5,0.2,0.9621666666666666,0.9569339796716037,0.8105,0.8764959962592871,1.0888677983599995
5,0.5,0.9619166666666666,0.9545325100692738,0.8115,0.8759613805121444,0.6982451308599996
10,0.1,0.9617083333333334,0.9498606060569219,0.8145,0.8758401444057592,1.7883458249200044
5,0.1,0.9599166666666668,0.9572093688483825,0.7965,0.8681858507090828,1.6916774933599972
20,0.05,0.9582916666666665,0.9438798227495283,0.798,0.8637070565920133,2.2047560857799975
10,0.05,0.9551666666666666,0.9424791698003308,0.7795,0.8523880344748299,2.0793159824599967
5,0.05,0.953125,0.946966862629363,0.76225,0.8436552994292914,1.9330955533400012
20,0.01,0.9237916666666667,0.8611641251696852,0.64825,0.7381754789056819,2.366523650760005
10,0.01,0.922125,0.8615056175429944,0.63625,0.7303014477981835,2.251957466639994
5,0.01,0.91875,0.8666838855570681,0.60725,0.7124659601508445,2.27772474082
20,0.001,0.8646666666666667,0.9218378822236677,0.20674999999999993,0.334071546892016,2.366606665780007
10,0.001,0.857375,0.8348773475922083,0.15674999999999997,0.261601528793474,2.2691478541400025
5,0.001,0.84825,0.733715119194531,0.09724999999999998,0.16673597795781966,2.293421440939999
