neuronios,lr,seed,accuracy,precision,recall,f1,tempo
5,0.05,1,0.9529166666666669,0.9417162004662005,0.7649999999999999,0.8441699469899753,1.7468068166000001
5,0.05,2,0.9504166666666667,0.932207167832168,0.7575,0.8358019734425024,1.4995332834000006
5,0.05,3,0.9533333333333334,0.9458899146702432,0.7649999999999999,0.8448639951001793,2.1066203999999997
5,0.05,4,0.9541666666666666,0.9508141269521397,0.765,0.8472761478789076,2.018706475000001
5,0.05,5,0.95375,0.949730981118693,0.765,0.8454624141126914,2.203425691599999
5,0.05,6,0.95,0.9409566397866833,0.7474999999999999,0.8328120164061842,1.791847999800001
5,0.05,7,0.9504166666666667,0.9457246942492844,0.7450000000000001,0.8327689898753728,2.031724666999999
5,0.05,8,0.9554166666666666,0.9633994699154199,0.7625,0.8496227991163824,1.9497411332000012
5,0.05,9,0.95375,0.9349746916310384,0.7775000000000001,0.8478044478044477,1.8892833166000031
5,0.05,10,0.9570833333333333,0.96425473967176,0.7725,0.8559702635662714,2.0932657502000067
5,0.2,1,0.9575000000000001,0.9601614102676332,0.7775000000000001,0.8590798784202617,0.7252341333999993
5,0.2,2,0.9662499999999999,0.9628427718913652,0.8300000000000001,0.8907971424022516,0.9650348917999991
5,0.2,3,0.9616666666666667,0.93848895282201,0.825,0.8770136234996306,1.1766728166000036
5,0.2,4,0.9650000000000001,0.9631142040876126,0.8225,0.8859135254186071,1.1839741333999996
5,0.2,5,0.96,0.9379824342324342,0.8150000000000001,0.8711659685857149,1.162065558599997
5,0.2,6,0.96125,0.9641230499088269,0.7975000000000001,0.872616111110265,0.9933219249999979
5,0.2,7,0.9625,0.960108309990663,0.8100000000000002,0.8776065735084362,1.2164224500000103
5,0.2,8,0.9620833333333334,0.9624294487138997,0.805,0.875083678807665,1.1048651083999914
5,0.2,9,0.9616666666666666,0.9561158612304652,0.8074999999999999,0.8743921389161535,1.0039005997999992
5,0.2,10,0.9637499999999999,0.9639733535711276,0.8149999999999998,0.8812913219238849,1.3571863665999957
5,0.5,1,0.9633333333333333,0.9678040954647056,0.8074999999999999,0.8794587666252063,0.8606434834000026
5,0.5,2,0.9625,0.9594559643255295,0.8099999999999999,0.8776432509732001,0.6214966415999925
5,0.5,3,0.96125,0.945954135954136,0.8150000000000001,0.8748712080997588,0.6874476836000042
5,0.5,4,0.9666666666666666,0.976712119603782,0.82,0.890449801510907,0.8051291002000027
5,0.5,5,0.9604166666666666,0.9519729943259355,0.805,0.8705467532809305,0.6495958833999907
5,0.5,6,0.96,0.9454735660907335,0.8074999999999999,0.8704298532391925,0.5609056833999887
5,0.5,7,0.9641666666666666,0.958018575851393,0.8225,0.8838221958221958,0.8423026079999942
5,0.5,8,0.9595833333333333,0.9450700572370703,0.8074999999999999,0.8686445629841856,0.6493095500000094
5,0.5,9,0.9620833333333334,0.9456832056832057,0.8200000000000001,0.877249519106984,0.7134440250000068
5,0.5,10,0.9591666666666667,0.9491803861562458,0.8,0.8664978934788847,0.5921766500000046
10,0.05,1,0.9545833333333335,0.9409401946808659,0.7775000000000001,0.8509421530626728,1.8710076915999991
10,0.05,2,0.9516666666666668,0.9449619025784874,0.755,0.8389115962974225,1.8810741579999957
