neuronios,lr,seed,accuracy,precision,recall,f1,tempo
5,0.001,1,0.8541666666666666,0.9288888888888888,0.135,0.2342492936461003,2.2693815167999998
5,0.001,2,0.8587499999999999,0.9208898944193061,0.16749999999999998,0.2819888274161636,2.2599617830000005
5,0.001,3,0.8333333333333334,0.0,0.0,0.0,2.2398935833999984
5,0.001,4,0.8679166666666667,0.9443888888888889,0.2225,0.3582139666705661,2.2713351749999986
5,0.001,5,0.8333333333333334,0.0,0.0,0.0,2.2808615082
5,0.001,6,0.8441666666666666,0.8877777777777777,0.0725,0.13304314984420734,2.2896511335999987
5,0.001,7,0.8412499999999999,0.8214285714285715,0.05499999999999999,0.10165723949030221,2.3111147087999995
5,0.001,8,0.8391666666666667,0.9666666666666668,0.0375,0.07123569244508374,2.3796287333999997
5,0.001,9,0.8591666666666666,0.9429041546688606,0.16499999999999998,0.2792456533916936,2.3526411583999987
5,0.001,10,0.85125,0.9242063492063493,0.11750000000000001,0.20772595667407998,2.2797451087999976
5,0.01,1,0.9225,0.8727996915365337,0.6275000000000001,0.7288066003376704,2.2678944831999983
5,0.01,2,0.9258333333333333,0.9005464345061027,0.625,0.7365653481205034,2.303634366600005
5,0.01,3,0.9079166666666666,0.8370183941916464,0.5575,0.6671658485420262,2.280506916400003
5,0.01,4,0.9212499999999999,0.8776826990667278,0.615,0.7213169169112409,2.2649306000000022
5,0.01,5,0.9,0.7794232276822928,0.5599999999999999,0.6502415182997532,2.2408407252000018
5,0.01,6,0.9254166666666667,0.8948658537438522,0.6275000000000001,0.7362096031566976,2.2842195667999987
5,0.01,7,0.9225,0.8806847735000751,0.6200000000000001,0.7258737578092982,2.3088557584
5,0.01,8,0.9225000000000001,0.8947479537241108,0.6074999999999999,0.7220710076476811,2.2989982836000022
5,0.01,9,0.9225,0.8806816073399941,0.6199999999999999,0.7262364665135423,2.268611208199991
5,0.01,10,0.9170833333333333,0.8483882202793449,0.6125,0.7101725341700318,2.2587554997999972
5,0.1,1,0.9600000000000002,0.9588785625942032,0.795,0.8684252606435583,1.261360808400002
5,0.1,2,0.9591666666666667,0.9664211966282261,0.7825,0.8642757430363064,1.33391825839999
5,0.1,3,0.9591666666666667,0.9402388438020404,0.8074999999999999,0.8674444224796488,2.1015177917999948
5,0.1,4,0.96125,0.9526777385923235,0.8099999999999999,0.8737349725884757,1.731328491799991
5,0.1,5,0.9579166666666667,0.9458234916647085,0.7949999999999999,0.8621074960274159,1.7236605667999925
